college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,1,HS23111,Technical Communication I,2,HS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,1,MA23116,Mathematical Foundations for AI,4,BS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,1,GE23117,தமிழர் மரபு / Heritage of Tamils,1,HS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,1,PH23132,Physics for Information Science,4,BS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,1,GE23131,Programming using C,4,ES,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,1,EE23233,Basic Electrical and Electronics Engineering,4,ES,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,1,MC23111,Indian Constitution and Freedom Movement,0,MC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,2,MA23214,Probability and Inferential Statistics,4,BS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,2,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamil and Technology,1,HS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,2,GE23111,Engineering Graphics,4,ES,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,2,IT23231,Digital Principles and Computer Architecture,4,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,2,CS23231,Data Structures,5,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,2,HS23221,Technical Communication II / English for Professional Competence,1,HS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,2,GE23123,"Engineering Practices -Electrical, Electronics and Computer systems",2,ES,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,2,CS23221,Python Programming Lab,2,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,3,MA23313,Discrete Mathematics for AI,4,BS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,3,AI23231,Principles of Artificial Intelligence,4,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,3,CS23331,Design and Analysis of Algorithms,4,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,3,CS23332,Database Management Systems,5,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,3,CS23333,Object Oriented Programming using Java,4,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,3,MC23112,Environmental Science and Engineering,0,MC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,4,,Open Elective-I,3,OE,Open Elective,elective
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,4,MA23434,Optimization Techniques for AI,4,BS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,4,AI23331,Fundamentals of Machine Learning,4,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,4,AI23431,Web Technology and Mobile Application,3,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,4,CS23431,Operating Systems,5,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,4,CS23432,Software Construction,4,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,4,GE23421,Soft Skills I,1,EEC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Machine Learning,AIML,R2023,4,AI23421,Internship,1,EEC,,core
