college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,1,HS23112,Business Communication and Value Science I,2,HS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,1,MA23115,Discrete Mathematics,4,BS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,1,MA23114,Probability and Calculus,4,BS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,1,GE23117,தமிழர் மரபு / Heritage of Tamils,1,HS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,1,CB23131,Fundamentals of Computer Science,4,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,1,EE23131,Principles of Electrical Engineering,3,ES,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,1,PH23133,Physics for Computing Science,4,BS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,1,MC23111,Indian Constitution and Freedom Movement,0,MC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,2,MA23211,Linear Algebra,4,BS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,2,BA23217,Fundamentals of Economics,2,MS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,2,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,HS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,2,MA23231,Statistical Modeling,4,BS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,2,CB23231,Data Structures and Algorithms,5,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,2,EC23242,Principles of Electronics,3,ES,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,2,CS23221,Python Programming Lab,2,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,2,HS23223,Business Communication and Value Science II,2,HS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,3,CB23311,Formal Language and Automata Theory,3,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,3,CB23312,Computer Organization and Architecture,3,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,3,CB23331,Computational Statistics,4,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,3,CB23332,Software Engineering,4,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,3,CB23333,Database Technology,4,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,3,CS23333,Object Oriented Programming Using Java,4,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,3,MC23313,Environmental Sciences,0,MC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,4,CB23411,"Introduction to Innovation, IP Management and Entrepreneurship",3,EEC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,4,BA23412,Fundamentals of Management,2,MS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,4,CB23431,Operating System Concepts,4,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,4,CB23432,Software Design with UML,3,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,4,CB23433,Analysis of Algorithms and Design,4,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,4,MA23437,Optimization Techniques,4,BS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,4,HS23421,Business Communication and Value Science III,2,HS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,4,GE23421,Soft Skills-I,1,EEC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,5,BA23511,Principles of Financial Management,2,MS,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,5,,Open Elective I,3,OE,Open Elective,elective
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,5,CB23531,Computer Network Technology,4,PC,,core
Rajalakshmi Engineering College,REC,Computer Science and Business Systems,CSBS,R2023,5,CB23532,Artificial Intelligence,4,PC,,core
